Date,USDNGN=X
2010-01-31,149.85849990844727
2010-02-28,150.5155029296875
2010-03-31,149.65782629925272
2010-04-30,148.65181732177734
2010-05-31,150.5123806908017
2010-06-30,150.73318134654653
2010-07-31,149.96909193559125
2010-08-31,149.73318273370916
2010-09-30,151.53999883478338
2010-10-31,151.2680947440011
2010-11-30,149.74636285955256
2010-12-31,152.2521740457286
2011-01-31,137.09602529094332
2011-02-28,152.06149978637694
2011-03-31,147.76978192122087
2011-04-30,153.86849975585938
2011-05-31,155.54272738370028
2011-06-30,155.38363508744672
2011-07-31,151.35618954613096
2011-08-31,152.69434655230978
2011-09-30,155.72545693137428
2011-10-31,159.3728557768322
2011-11-30,158.32136258212003
2011-12-31,161.196364662864
2012-01-31,159.9995450106534
2012-02-29,157.77666582380022
2012-03-31,157.45000041614878
2012-04-30,156.98095339820497
2012-05-31,157.39826102878737
2012-06-30,160.50142923990884
2012-07-31,159.26681795987216
2012-08-31,156.64086847719938
2012-09-30,155.33049926757812
2012-10-31,155.12565082052478
2012-11-30,155.51772724498403
2012-12-31,155.1961887904576
2013-01-31,154.81391442340353
2013-02-28,155.34650039672852
2013-03-31,156.6028558640253
2013-04-30,156.21091045032847
2013-05-31,156.1452178955078
2013-06-30,157.50699996948242
2013-07-31,159.35652226987094
2013-08-31,159.28727306019175
2013-09-30,159.76285879952567
2013-10-31,157.96318192915484
2013-11-30,157.3642861502511
2013-12-31,158.4172723943537
2014-01-31,159.44130408245584
2014-02-28,162.97550048828126
2014-03-31,164.0538090297154
2014-04-30,161.93227247758344
2014-05-31,161.35409199107778
2014-06-30,162.51952471051897
2014-07-31,161.80260898755944
2014-08-31,160.74095299130394
2014-09-30,161.32363683527166
2014-10-31,162.78521728515625
2014-11-30,169.3925003051758
2014-12-31,181.46043395996094
2015-01-31,185.56863750110972
2015-02-28,197.01650009155273
2015-03-31,199.33818192915484
2015-04-30,198.19545607133344
2015-05-31,198.65999784923736
2015-06-30,198.7322699806907
2015-07-31,190.09086874256963
2015-08-31,197.5809515090216
2015-09-30,198.43954398415306
2015-10-31,198.53726959228516
2015-11-30,197.33476039341517
2015-12-31,196.16739289656928
2016-01-31,196.29095168340774
2016-02-29,197.06333342052642
2016-03-31,189.25826163913894
2016-04-30,198.4799993605841
2016-05-31,198.4518182927912
2016-06-30,212.7972738092596
2016-07-31,274.71143071992054
2016-08-31,321.5821732230808
2016-09-30,312.05545460094106
2016-10-31,312.95333571661087
2016-11-30,315.09090909090907
2016-12-31,301.69590897993606
2017-01-31,314.6731817072088
2017-02-28,298.88200000524523
2017-03-31,314.69565217391306
2017-04-30,314.55
2017-05-31,315.89130434782606
2017-06-30,317.5681818181818
2017-07-31,343.98999938964846
2017-08-31,344.4913040244061
2017-09-30,352.6666666666667
2017-10-31,354.27272727272725
2017-11-30,354.9047619047619
2017-12-31,356.95238095238096
2018-01-31,357.3478260869565
2018-02-28,357.55
2018-03-31,356.59090909090907
2018-04-30,357.9047619047619
2018-05-31,359.04347826086956
2018-06-30,357.95238095238096
2018-07-31,343.9872715581547
2018-08-31,360.3391299040421
2018-09-30,361.1899978637695
2018-10-31,362.62956569505775
2018-11-30,362.8281818736683
2018-12-31,363.3819042387463
2019-01-31,362.9421731700068
2019-02-28,360.6855010986328
2019-03-31,359.3576180594308
2019-04-30,358.85772705078125
2019-05-31,358.2100011652166
2019-06-30,344.2475021362305
2019-07-31,357.6752173382303
2019-08-31,360.9422718394886
2019-09-30,358.0
2019-10-31,358.69565217391306
2019-11-30,359.1904761904762
2019-12-31,359.54545454545456
2020-01-31,359.6521739130435
2020-02-29,361.15
2020-03-31,363.95454545454544
2020-04-30,375.4368175159801
2020-05-31,388.9793701171875
2020-06-30,384.9318181818182
2020-07-31,386.3460865850034
2020-08-31,382.44666544596356
2020-09-30,381.2740908536044
2020-10-31,380.0313637473366
2020-11-30,378.7809535435268
2020-12-31,376.6391309655231
2021-01-31,378.018560500372
2021-02-28,376.5789993286133
2021-03-31,379.4876509956692
2021-04-30,382.7427243319425
2021-05-31,398.769048781622
2021-06-30,411.15045443448156
2021-07-31,410.6381822065874
2021-08-31,411.0499988902699
2021-09-30,410.86772710626775
2021-10-31,410.2257109142485
2021-11-30,410.04636313698506
2021-12-31,410.0395693571671
2022-01-31,413.6357174827939
2022-02-28,415.5425003051758
2022-03-31,415.50347900390625
2022-04-30,414.749520438058
2022-05-31,414.623178655451
2022-06-30,415.0409102006392
2022-07-31,414.81713721865697
2022-08-31,418.8643480383831
2022-09-30,427.96590770374644
2022-10-31,433.82333228701634
2022-11-30,440.84636480158025
2022-12-31,445.02954517711294
2023-01-31,452.96181418678975
2023-02-28,459.6095001220703
2023-03-31,458.6782624617867
2023-04-30,460.804997253418
2023-05-31,460.0230434251868
2023-06-30,602.1177298805931
2023-07-31,779.308099655878
2023-08-31,765.3278277853261
2023-09-30,771.4721883138021
2023-10-31,778.775859485973
2023-11-30,808.3857283158736
2023-12-31,824.6883777436756
2024-01-31,906.6860855765965
2024-02-29,1471.2452334449404
2024-03-31,1527.7219063895088
2024-04-30,1241.1581809303977
2024-05-31,1434.459568189538
2024-06-30,1502.4614990234375
2024-07-31,1577.5121645720108
2024-08-31,1596.538163618608
2024-09-30,1629.1871396019346
2024-10-31,1641.418701171875
2024-11-30,1673.827625093006
2024-12-31,1576.0771542503721
